2026-01-04 20:18:40.223 [info] Reading sessions from keychain...
2026-01-04 20:18:40.223 [info] Getting sessions for all scopes...
2026-01-04 20:18:40.223 [info] Got 0 sessions for ...
2026-01-04 20:18:40.223 [info] Getting sessions for all scopes...
2026-01-04 20:18:40.223 [info] Got 0 sessions for ...
2026-01-04 20:18:40.223 [info] Getting sessions for all scopes...
2026-01-04 20:18:40.223 [info] Got 0 sessions for ...
2026-01-04 20:18:40.223 [info] Getting sessions for all scopes...
2026-01-04 20:18:40.223 [info] Got 0 sessions for ...
2026-01-04 20:18:40.223 [info] Getting sessions for all scopes...
2026-01-04 20:18:40.223 [info] Got 0 sessions for ...
2026-01-04 20:18:40.223 [info] Getting sessions for all scopes...
2026-01-04 20:18:40.223 [info] Got 0 sessions for ...
2026-01-04 20:18:40.223 [info] Getting sessions for all scopes...
2026-01-04 20:18:40.223 [info] Got 0 sessions for ...
2026-01-04 20:18:40.223 [info] Getting sessions for all scopes...
2026-01-04 20:18:40.223 [info] Got 0 sessions for ...
2026-01-04 20:18:40.223 [info] Getting sessions for all scopes...
2026-01-04 20:18:40.223 [info] Got 0 sessions for ...
2026-01-04 20:18:40.223 [info] Getting sessions for all scopes...
2026-01-04 20:18:40.223 [info] Got 0 sessions for ...
2026-01-04 20:18:40.223 [info] Getting sessions for all scopes...
2026-01-04 20:18:40.223 [info] Got 0 sessions for ...
2026-01-04 20:18:40.223 [info] Getting sessions for all scopes...
2026-01-04 20:18:40.223 [info] Got 0 sessions for ...
2026-01-04 20:18:40.223 [info] Getting sessions for all scopes...
2026-01-04 20:18:40.223 [info] Got 0 sessions for ...
2026-01-04 20:18:40.223 [info] Getting sessions for all scopes...
2026-01-04 20:18:40.223 [info] Got 0 sessions for ...
2026-01-04 20:18:40.223 [info] Getting sessions for all scopes...
2026-01-04 20:18:40.223 [info] Got 0 sessions for ...
2026-01-04 20:18:41.326 [info] Getting sessions for read:user,repo,user:email...
2026-01-04 20:18:41.326 [info] Got 0 sessions for read:user,repo,user:email...
2026-01-04 20:18:41.375 [info] Getting sessions for all scopes...
2026-01-04 20:18:41.375 [info] Got 0 sessions for ...
